Year,Country,LOCATION,SEX,Sex,AGE,Age,TIME,Value,Flag Codes,Flags
1996,Sweden,SWE,T,Total,TOTAL,Total,1996,8840999.0,,
1996,Switzerland,CHE,T,Total,TOTAL,Total,1996,7071851.0,,
1996,Türkiye,TUR,T,Total,TOTAL,Total,1996,60671000.0,,
1996,United Kingdom,GBR,T,Total,TOTAL,Total,1996,58164374.0,,
1996,United States,USA,T,Total,TOTAL,Total,1996,269394284.0,,
1996,Croatia,HRV,T,Total,TOTAL,Total,1996,4758633.0,,
1996,India,IND,T,Total,TOTAL,Total,1996,983281215.0,,
1996,Lithuania,LTU,T,Total,TOTAL,Total,1996,3601613.0,,
1996,Slovenia,SVN,T,Total,TOTAL,Total,1996,1991169.0,,
1997,Belgium,BEL,T,Total,TOTAL,Total,1997,10181246.0,,
1997,Canada,CAN,T,Total,TOTAL,Total,1997,29905948.0,,
1997,Czech Republic,CZE,T,Total,TOTAL,Total,1997,10303642.0,,
1997,Denmark,DNK,T,Total,TOTAL,Total,1997,5284220.0,,
1997,Finland,FIN,T,Total,TOTAL,Total,1997,5139839.0,,
1997,France,FRA,T,Total,TOTAL,Total,1997,59795263.0,,
1997,Hungary,HUN,T,Total,TOTAL,Total,1997,10290475.0,,
1997,Iceland,ISL,T,Total,TOTAL,Total,1997,271130.0,,
1997,Italy,ITA,T,Total,TOTAL,Total,1997,56890371.0,,
1997,Japan,JPN,T,Total,TOTAL,Total,1997,126166000.0,,
1997,Korea,KOR,T,Total,TOTAL,Total,1997,45953580.0,,
1997,Netherlands,NLD,T,Total,TOTAL,Total,1997,15610650.0,,
1997,New Zealand,NZL,T,Total,TOTAL,Total,1997,3781300.0,,
1997,Norway,NOR,T,Total,TOTAL,Total,1997,4405158.0,,
1997,Poland,POL,T,Total,TOTAL,Total,1997,38292000.0,,
1997,Portugal,PRT,T,Total,TOTAL,Total,1997,10108977.0,,
1997,Slovak Republic,SVK,T,Total,TOTAL,Total,1997,5383233.0,,
1997,Sweden,SWE,T,Total,TOTAL,Total,1997,8846059.0,,
1997,Switzerland,CHE,T,Total,TOTAL,Total,1997,7088906.0,,
1997,Türkiye,TUR,T,Total,TOTAL,Total,1997,61582000.0,,
1997,United Kingdom,GBR,T,Total,TOTAL,Total,1997,58314249.0,,
1997,United States,USA,T,Total,TOTAL,Total,1997,272646925.0,,
1997,Croatia,HRV,T,Total,TOTAL,Total,1997,4711372.0,,
1997,India,IND,T,Total,TOTAL,Total,1997,1002335230.0,,
1997,Lithuania,LTU,T,Total,TOTAL,Total,1997,3575137.0,,
1997,Slovenia,SVN,T,Total,TOTAL,Total,1997,1986848.0,,
1998,Belgium,BEL,T,Total,TOTAL,Total,1998,10203012.0,,
1998,Canada,CAN,T,Total,TOTAL,Total,1998,30155173.0,,
1998,Czech Republic,CZE,T,Total,TOTAL,Total,1998,10294943.0,,
1998,Denmark,DNK,T,Total,TOTAL,Total,1998,5301304.0,,
1998,Finland,FIN,T,Total,TOTAL,Total,1998,5153499.0,,
1998,France,FRA,T,Total,TOTAL,Total,1998,60011008.0,,
1998,Hungary,HUN,T,Total,TOTAL,Total,1998,10266571.0,,
1998,Iceland,ISL,T,Total,TOTAL,Total,1998,274049.0,,
1998,Italy,ITA,T,Total,TOTAL,Total,1998,56906744.0,,
1998,Japan,JPN,T,Total,TOTAL,Total,1998,126486000.0,,
1998,Korea,KOR,T,Total,TOTAL,Total,1998,46286503.0,,
1998,Netherlands,NLD,T,Total,TOTAL,Total,1998,15707205.0,,
1998,New Zealand,NZL,T,Total,TOTAL,Total,1998,3815000.0,,
1998,Norway,NOR,T,Total,TOTAL,Total,1998,4431465.0,,
1998,Poland,POL,T,Total,TOTAL,Total,1998,38283500.0,,
1998,Portugal,PRT,T,Total,TOTAL,Total,1998,10160196.0,,
1998,Slovak Republic,SVK,T,Total,TOTAL,Total,1998,5390866.0,,
1998,Sweden,SWE,T,Total,TOTAL,Total,1998,8850975.0,,
1998,Switzerland,CHE,T,Total,TOTAL,Total,1998,7110002.0,,
1998,Türkiye,TUR,T,Total,TOTAL,Total,1998,62464000.0,,
1998,United Kingdom,GBR,T,Total,TOTAL,Total,1998,58474943.0,,
1998,United States,USA,T,Total,TOTAL,Total,1998,275854104.0,,
1998,Croatia,HRV,T,Total,TOTAL,Total,1998,4659932.0,,
1998,India,IND,T,Total,TOTAL,Total,1998,1021434576.0,,
1998,Lithuania,LTU,T,Total,TOTAL,Total,1998,3549331.0,,
1998,Slovenia,SVN,T,Total,TOTAL,Total,1998,1982603.0,,
1999,Belgium,BEL,T,Total,TOTAL,Total,1999,10226419.0,,
1999,Canada,CAN,T,Total,TOTAL,Total,1999,30401286.0,,
1999,Czech Republic,CZE,T,Total,TOTAL,Total,1999,10282784.0,,
1999,Denmark,DNK,T,Total,TOTAL,Total,1999,5319111.0,,
1999,Finland,FIN,T,Total,TOTAL,Total,1999,5165470.0,,
1999,France,FRA,T,Total,TOTAL,Total,1999,60315406.0,,
1999,Hungary,HUN,T,Total,TOTAL,Total,1999,10237527.0,,
1999,Iceland,ISL,T,Total,TOTAL,Total,1999,277384.0,,
1999,Italy,ITA,T,Total,TOTAL,Total,1999,56916316.0,,
1999,Japan,JPN,T,Total,TOTAL,Total,1999,126686000.0,,
1999,Korea,KOR,T,Total,TOTAL,Total,1999,46616677.0,,
1999,Netherlands,NLD,T,Total,TOTAL,Total,1999,15812085.0,,
1999,New Zealand,NZL,T,Total,TOTAL,Total,1999,3835100.0,,
1999,Norway,NOR,T,Total,TOTAL,Total,1999,4461915.0,,
1999,Poland,POL,T,Total,TOTAL,Total,1999,38270000.0,,
1999,Portugal,PRT,T,Total,TOTAL,Total,1999,10217828.0,,
1999,Slovak Republic,SVK,T,Total,TOTAL,Total,1999,5395324.0,,
1999,Sweden,SWE,T,Total,TOTAL,Total,1999,8857879.0,,
1999,Switzerland,CHE,T,Total,TOTAL,Total,1999,7143991.0,,
1999,Türkiye,TUR,T,Total,TOTAL,Total,1999,63364000.0,,
1999,United Kingdom,GBR,T,Total,TOTAL,Total,1999,58684427.0,,
1999,United States,USA,T,Total,TOTAL,Total,1999,279040168.0,,
1999,Croatia,HRV,T,Total,TOTAL,Total,1999,4605331.0,,
1999,India,IND,T,Total,TOTAL,Total,1999,1040500052.0,,
1999,Lithuania,LTU,T,Total,TOTAL,Total,1999,3524237.0,,
1999,Slovenia,SVN,T,Total,TOTAL,Total,1999,1985557.0,,
2000,Belgium,BEL,T,Total,TOTAL,Total,2000,10251251.0,,
2000,Canada,CAN,T,Total,TOTAL,Total,2000,30685730.0,,
2000,Czech Republic,CZE,T,Total,TOTAL,Total,2000,10272503.0,,
2000,Denmark,DNK,T,Total,TOTAL,Total,2000,5337344.0,,
2000,Finland,FIN,T,Total,TOTAL,Total,2000,5176203.0,,
2000,France,FRA,T,Total,TOTAL,Total,2000,60724780.0,,
2000,Hungary,HUN,T,Total,TOTAL,Total,2000,10210965.0,,
2000,Iceland,ISL,T,Total,TOTAL,Total,2000,281200.0,,
2000,Italy,ITA,T,Total,TOTAL,Total,2000,56942108.0,,
2000,Japan,JPN,T,Total,TOTAL,Total,2000,126925843.0,,
2000,Korea,KOR,T,Total,TOTAL,Total,2000,47008111.0,,
2000,Netherlands,NLD,T,Total,TOTAL,Total,2000,15925505.0,,
2000,New Zealand,NZL,T,Total,TOTAL,Total,2000,3857700.0,,
2000,Norway,NOR,T,Total,TOTAL,Total,2000,4490973.0,,
2000,Poland,POL,T,Total,TOTAL,Total,2000,38258477.5,,
2000,Portugal,PRT,T,Total,TOTAL,Total,2000,10289898.0,,
2000,Slovak Republic,SVK,T,Total,TOTAL,Total,2000,5400679.0,,
2000,Sweden,SWE,T,Total,TOTAL,Total,2000,8872112.0,,
2000,Switzerland,CHE,T,Total,TOTAL,Total,2000,7184250.0,,
2000,Türkiye,TUR,T,Total,TOTAL,Total,2000,64268751.0,,
2000,United Kingdom,GBR,T,Total,TOTAL,Total,2000,58886065.0,,
2000,United States,USA,T,Total,TOTAL,Total,2000,282162411.0,,
2000,Croatia,HRV,T,Total,TOTAL,Total,2000,4548433.0,,
2000,India,IND,T,Total,TOTAL,Total,2000,1059633677.0,,
2000,Lithuania,LTU,T,Total,TOTAL,Total,2000,3499534.0,,
2000,Slovenia,SVN,T,Total,TOTAL,Total,2000,1990272.0,,
2001,Belgium,BEL,T,Total,TOTAL,Total,2001,10286571.0,,
2001,Canada,CAN,T,Total,TOTAL,Total,2001,31020902.0,,
2001,Czech Republic,CZE,T,Total,TOTAL,Total,2001,10224192.0,,
2001,Denmark,DNK,T,Total,TOTAL,Total,2001,5355082.0,,
2001,Finland,FIN,T,Total,TOTAL,Total,2001,5188005.0,,
2001,France,FRA,T,Total,TOTAL,Total,2001,61163237.0,,
2001,Hungary,HUN,T,Total,TOTAL,Total,2001,10187578.0,,
2001,Iceland,ISL,T,Total,TOTAL,Total,2001,284970.0,,
2001,Italy,ITA,T,Total,TOTAL,Total,2001,56976976.0,,
2001,Japan,JPN,T,Total,TOTAL,Total,2001,127291000.0,,
2001,Korea,KOR,T,Total,TOTAL,Total,2001,47370164.0,,
2001,Netherlands,NLD,T,Total,TOTAL,Total,2001,16046182.0,,
2001,New Zealand,NZL,T,Total,TOTAL,Total,2001,3880500.0,,
2001,Norway,NOR,T,Total,TOTAL,Total,2001,4513747.0,,
2001,Poland,POL,T,Total,TOTAL,Total,2001,38248076.0,,
2001,Portugal,PRT,T,Total,TOTAL,Total,2001,10362721.5,,
2001,Slovak Republic,SVK,T,Total,TOTAL,Total,2001,5379780.0,,
2001,Sweden,SWE,T,Total,TOTAL,Total,2001,8895963.0,,
2001,Switzerland,CHE,T,Total,TOTAL,Total,2001,7226647.0,,
2001,Türkiye,TUR,T,Total,TOTAL,Total,2001,65166330.5,,
2001,United Kingdom,GBR,T,Total,TOTAL,Total,2001,59113016.0,,
2001,United States,USA,T,Total,TOTAL,Total,2001,284968955.0,,
2001,Croatia,HRV,T,Total,TOTAL,Total,2001,4299642.0,,
2001,India,IND,T,Total,TOTAL,Total,2001,1078970908.0,,
2001,Lithuania,LTU,T,Total,TOTAL,Total,2001,3470818.0,,
2001,Slovenia,SVN,T,Total,TOTAL,Total,2001,1992035.0,,
2002,Belgium,BEL,T,Total,TOTAL,Total,2002,10332786.0,,
2002,Canada,CAN,T,Total,TOTAL,Total,2002,31360079.0,,
2002,Czech Republic,CZE,T,Total,TOTAL,Total,2002,10200774.0,,
2002,Denmark,DNK,T,Total,TOTAL,Total,2002,5374255.0,,
2002,Finland,FIN,T,Total,TOTAL,Total,2002,5200598.0,,
2002,France,FRA,T,Total,TOTAL,Total,2002,61604550.0,,
2002,Hungary,HUN,T,Total,TOTAL,Total,2002,10158610.0,,
2002,Iceland,ISL,T,Total,TOTAL,Total,2002,287516.0,,
2002,Italy,ITA,T,Total,TOTAL,Total,2002,57089823.0,,
2002,Japan,JPN,T,Total,TOTAL,Total,2002,127435000.0,,
2002,Korea,KOR,T,Total,TOTAL,Total,2002,47644736.0,,
2002,Netherlands,NLD,T,Total,TOTAL,Total,2002,16148921.0,,
2002,New Zealand,NZL,T,Total,TOTAL,Total,2002,3948500.0,,
2002,Norway,NOR,T,Total,TOTAL,Total,2002,4538157.0,,
2002,Poland,POL,T,Total,TOTAL,Total,2002,38232301.0,,
2002,Portugal,PRT,T,Total,TOTAL,Total,2002,10419630.5,,
2002,Slovak Republic,SVK,T,Total,TOTAL,Total,2002,5378809.0,,
2002,Sweden,SWE,T,Total,TOTAL,Total,2002,8924960.0,,
2002,Switzerland,CHE,T,Total,TOTAL,Total,2002,7284754.0,,
2002,Türkiye,TUR,T,Total,TOTAL,Total,2002,66002505.5,,
2002,United Kingdom,GBR,T,Total,TOTAL,Total,2002,59365677.0,,
2002,United States,USA,T,Total,TOTAL,Total,2002,287625193.0,,
2002,Croatia,HRV,T,Total,TOTAL,Total,2002,4302174.0,,
2002,India,IND,T,Total,TOTAL,Total,2002,1098313040.0,,
2002,Lithuania,LTU,T,Total,TOTAL,Total,2002,3443067.0,,
2002,Slovenia,SVN,T,Total,TOTAL,Total,2002,1995718.0,,
2003,Belgium,BEL,T,Total,TOTAL,Total,2003,10376131.0,,
2003,Canada,CAN,T,Total,TOTAL,Total,2003,31644028.0,,
2003,Czech Republic,CZE,T,Total,TOTAL,Total,2003,10201651.0,,
2003,Denmark,DNK,T,Total,TOTAL,Total,2003,5387174.0,,
2003,Finland,FIN,T,Total,TOTAL,Total,2003,5213010.0,,
2003,France,FRA,T,Total,TOTAL,Total,2003,62037544.0,,
2003,Hungary,HUN,T,Total,TOTAL,Total,2003,10129554.0,,
2003,Iceland,ISL,T,Total,TOTAL,Total,2003,289522.0,,
2003,Italy,ITA,T,Total,TOTAL,Total,2003,57399187.0,,
2003,Japan,JPN,T,Total,TOTAL,Total,2003,127619000.0,,
2003,Korea,KOR,T,Total,TOTAL,Total,2003,47892330.0,,
2003,Netherlands,NLD,T,Total,TOTAL,Total,2003,16225303.0,,
2003,New Zealand,NZL,T,Total,TOTAL,Total,2003,4027200.0,,
2003,Norway,NOR,T,Total,TOTAL,Total,2003,4564856.0,,
2003,Poland,POL,T,Total,TOTAL,Total,2003,38195177.0,,
2003,Portugal,PRT,T,Total,TOTAL,Total,2003,10458821.0,,
2003,Slovak Republic,SVK,T,Total,TOTAL,Total,2003,5378950.0,,
2003,Sweden,SWE,T,Total,TOTAL,Total,2003,8958232.0,,
2003,Switzerland,CHE,T,Total,TOTAL,Total,2003,7339002.0,,
2003,Türkiye,TUR,T,Total,TOTAL,Total,2003,66794551.0,,
2003,United Kingdom,GBR,T,Total,TOTAL,Total,2003,59636662.0,,
2003,United States,USA,T,Total,TOTAL,Total,2003,290107933.0,,
2003,Croatia,HRV,T,Total,TOTAL,Total,2003,4303399.0,,
2003,India,IND,T,Total,TOTAL,Total,2003,1117415124.0,,
2003,Lithuania,LTU,T,Total,TOTAL,Total,2003,3415213.0,,
2003,Slovenia,SVN,T,Total,TOTAL,Total,2003,1996773.0,,
2004,Belgium,BEL,T,Total,TOTAL,Total,2004,10421136.0,,
2004,Canada,CAN,T,Total,TOTAL,Total,2004,31940655.0,,
2004,Czech Republic,CZE,T,Total,TOTAL,Total,2004,10206923.0,,
2004,Denmark,DNK,T,Total,TOTAL,Total,2004,5401177.0,,
2004,Finland,FIN,T,Total,TOTAL,Total,2004,5228173.0,,
2004,France,FRA,T,Total,TOTAL,Total,2004,62490800.0,,
2004,Hungary,HUN,T,Total,TOTAL,Total,2004,10107140.0,,
2004,Iceland,ISL,T,Total,TOTAL,Total,2004,292077.0,,
2004,Italy,ITA,T,Total,TOTAL,Total,2004,57828178.0,,
2004,Japan,JPN,T,Total,TOTAL,Total,2004,127687000.0,,
2004,Korea,KOR,T,Total,TOTAL,Total,2004,48082519.0,,
2004,Netherlands,NLD,T,Total,TOTAL,Total,2004,16281777.0,,
2004,New Zealand,NZL,T,Total,TOTAL,Total,2004,4087500.0,,
2004,Norway,NOR,T,Total,TOTAL,Total,2004,4591909.0,,
2004,Poland,POL,T,Total,TOTAL,Total,2004,38180249.0,,
2004,Portugal,PRT,T,Total,TOTAL,Total,2004,10483861.0,,
2004,Slovak Republic,SVK,T,Total,TOTAL,Total,2004,5382574.0,,
2004,Sweden,SWE,T,Total,TOTAL,Total,2004,8993534.0,,
2004,Switzerland,CHE,T,Total,TOTAL,Total,2004,7389626.0,,
2004,Türkiye,TUR,T,Total,TOTAL,Total,2004,67598736.0,,
2004,United Kingdom,GBR,T,Total,TOTAL,Total,2004,59950364.0,,
2004,United States,USA,T,Total,TOTAL,Total,2004,292805298.0,,
2004,Croatia,HRV,T,Total,TOTAL,Total,2004,4304600.0,,
2004,India,IND,T,Total,TOTAL,Total,2004,1136264580.0,,
2004,Lithuania,LTU,T,Total,TOTAL,Total,2004,3377075.0,,
2004,Slovenia,SVN,T,Total,TOTAL,Total,2004,1997004.0,,
2005,Belgium,BEL,T,Total,TOTAL,Total,2005,10478620.0,,
2005,Canada,CAN,T,Total,TOTAL,Total,2005,32243753.0,,
2005,Czech Republic,CZE,T,Total,TOTAL,Total,2005,10234092.0,,
2005,Denmark,DNK,T,Total,TOTAL,Total,2005,5415978.0,,
2005,Finland,FIN,T,Total,TOTAL,Total,2005,5246100.0,,
2005,France,FRA,T,Total,TOTAL,Total,2005,62958328.0,,
2005,Hungary,HUN,T,Total,TOTAL,Total,2005,10087064.0,,
2005,Iceland,ISL,T,Total,TOTAL,Total,2005,296734.0,,
2005,Italy,ITA,T,Total,TOTAL,Total,2005,58166684.0,,
2005,Japan,JPN,T,Total,TOTAL,Total,2005,127767994.0,,
2005,Korea,KOR,T,Total,TOTAL,Total,2005,48184561.0,,
2005,Netherlands,NLD,T,Total,TOTAL,Total,2005,16319871.0,,
2005,New Zealand,NZL,T,Total,TOTAL,Total,2005,4133900.0,,
2005,Norway,NOR,T,Total,TOTAL,Total,2005,4623293.0,,
2005,Poland,POL,T,Total,TOTAL,Total,2005,38161313.0,,
2005,Portugal,PRT,T,Total,TOTAL,Total,2005,10503330.0,,
2005,Slovak Republic,SVK,T,Total,TOTAL,Total,2005,5387285.0,,
2005,Sweden,SWE,T,Total,TOTAL,Total,2005,9029567.0,,
2005,Switzerland,CHE,T,Total,TOTAL,Total,2005,7437116.0,,
2005,Türkiye,TUR,T,Total,TOTAL,Total,2005,68435380.0,,
2005,United Kingdom,GBR,T,Total,TOTAL,Total,2005,60413276.0,,
2005,United States,USA,T,Total,TOTAL,Total,2005,295516599.0,,
2005,Croatia,HRV,T,Total,TOTAL,Total,2005,4310145.0,,
2005,India,IND,T,Total,TOTAL,Total,2005,1154638709.0,,
2005,Lithuania,LTU,T,Total,TOTAL,Total,2005,3322528.0,,
2005,Slovenia,SVN,T,Total,TOTAL,Total,2005,2001114.0,,
2006,Belgium,BEL,T,Total,TOTAL,Total,2006,10547956.0,,
2006,Canada,CAN,T,Total,TOTAL,Total,2006,32571174.0,,
2006,Czech Republic,CZE,T,Total,TOTAL,Total,2006,10266646.0,,
2006,Denmark,DNK,T,Total,TOTAL,Total,2006,5434567.0,,
2006,Finland,FIN,T,Total,TOTAL,Total,2006,5266266.0,,
2006,France,FRA,T,Total,TOTAL,Total,2006,63393406.0,,
2006,Hungary,HUN,T,Total,TOTAL,Total,2006,10071374.0,,
2006,Iceland,ISL,T,Total,TOTAL,Total,2006,303784.0,,
2006,Italy,ITA,T,Total,TOTAL,Total,2006,58399863.0,,
2006,Japan,JPN,T,Total,TOTAL,Total,2006,127900515.0,,
2006,Korea,KOR,T,Total,TOTAL,Total,2006,48438292.0,,
2006,Netherlands,NLD,T,Total,TOTAL,Total,2006,16346096.0,,
2006,New Zealand,NZL,T,Total,TOTAL,Total,2006,4184600.0,,
2006,Norway,NOR,T,Total,TOTAL,Total,2006,4660673.0,,
2006,Poland,POL,T,Total,TOTAL,Total,2006,38132277.0,,
2006,Portugal,PRT,T,Total,TOTAL,Total,2006,10522288.0,,
2006,Slovak Republic,SVK,T,Total,TOTAL,Total,2006,5391184.0,,
2006,Sweden,SWE,T,Total,TOTAL,Total,2006,9080506.0,,
2006,Switzerland,CHE,T,Total,TOTAL,Total,2006,7483935.0,,
2006,Türkiye,TUR,T,Total,TOTAL,Total,2006,69295253.0,,
2006,United Kingdom,GBR,T,Total,TOTAL,Total,2006,60827067.0,,
2006,United States,USA,T,Total,TOTAL,Total,2006,298379912.0,,
2006,Croatia,HRV,T,Total,TOTAL,Total,2006,4311159.0,,
2006,India,IND,T,Total,TOTAL,Total,2006,1172373786.0,,
2006,Lithuania,LTU,T,Total,TOTAL,Total,2006,3269909.0,,
2006,Slovenia,SVN,T,Total,TOTAL,Total,2006,2008516.0,,
2007,Belgium,BEL,T,Total,TOTAL,Total,2007,10624835.0,,
2007,Canada,CAN,T,Total,TOTAL,Total,2007,32889025.0,,
2007,Czech Republic,CZE,T,Total,TOTAL,Total,2007,10322689.0,,
2007,Denmark,DNK,T,Total,TOTAL,Total,2007,5457415.0,,
2007,Finland,FIN,T,Total,TOTAL,Total,2007,5288719.0,,
2007,France,FRA,T,Total,TOTAL,Total,2007,63781275.0,,
2007,Hungary,HUN,T,Total,TOTAL,Total,2007,10055778.0,,
2007,Iceland,ISL,T,Total,TOTAL,Total,2007,311567.0,,
2007,Italy,ITA,T,Total,TOTAL,Total,2007,58756247.0,,
2007,Japan,JPN,T,Total,TOTAL,Total,2007,128032743.0,,
2007,Korea,KOR,T,Total,TOTAL,Total,2007,48683638.0,,
2007,Netherlands,NLD,T,Total,TOTAL,Total,2007,16381696.0,,
2007,New Zealand,NZL,T,Total,TOTAL,Total,2007,4223800.0,,
2007,Norway,NOR,T,Total,TOTAL,Total,2007,4709156.0,,
2007,Poland,POL,T,Total,TOTAL,Total,2007,38115967.0,,
2007,Portugal,PRT,T,Total,TOTAL,Total,2007,10542963.5,,
2007,Slovak Republic,SVK,T,Total,TOTAL,Total,2007,5397766.0,,
2007,Sweden,SWE,T,Total,TOTAL,Total,2007,9148093.0,,
2007,Switzerland,CHE,T,Total,TOTAL,Total,2007,7551117.0,,
2007,Türkiye,TUR,T,Total,TOTAL,Total,2007,70158111.5,,
2007,United Kingdom,GBR,T,Total,TOTAL,Total,2007,61319075.0,,
2007,United States,USA,T,Total,TOTAL,Total,2007,301231207.0,,
2007,Croatia,HRV,T,Total,TOTAL,Total,2007,4310217.0,,
2007,India,IND,T,Total,TOTAL,Total,2007,1189691811.0,,
2007,Lithuania,LTU,T,Total,TOTAL,Total,2007,3231294.0,,
2007,Slovenia,SVN,T,Total,TOTAL,Total,2007,2019406.0,,
2008,Belgium,BEL,T,Total,TOTAL,Total,2008,10709108.0,,
2008,Canada,CAN,T,Total,TOTAL,Total,2008,33247118.0,,
2008,Czech Republic,CZE,T,Total,TOTAL,Total,2008,10429692.0,,
2008,Denmark,DNK,T,Total,TOTAL,Total,2008,5489022.0,,
2008,Finland,FIN,T,Total,TOTAL,Total,2008,5313398.0,,
2008,France,FRA,T,Total,TOTAL,Total,2008,64133174.0,,
2008,Hungary,HUN,T,Total,TOTAL,Total,2008,10038186.0,,
2008,Iceland,ISL,T,Total,TOTAL,Total,2008,317404.0,,
2008,Italy,ITA,T,Total,TOTAL,Total,2008,59211183.0,,
2008,Japan,JPN,T,Total,TOTAL,Total,2008,128083960.0,,
2008,Korea,KOR,T,Total,TOTAL,Total,2008,49054708.0,,
2008,Netherlands,NLD,T,Total,TOTAL,Total,2008,16445590.0,,
2008,New Zealand,NZL,T,Total,TOTAL,Total,2008,4259800.0,,
2008,Norway,NOR,T,Total,TOTAL,Total,2008,4768215.0,,
2008,Poland,POL,T,Total,TOTAL,Total,2008,38115909.0,,
2008,Portugal,PRT,T,Total,TOTAL,Total,2008,10558176.5,,
2008,Slovak Republic,SVK,T,Total,TOTAL,Total,2008,5406972.0,,
2008,Sweden,SWE,T,Total,TOTAL,Total,2008,9219639.0,,
2008,Switzerland,CHE,T,Total,TOTAL,Total,2008,7647676.0,,
2008,Türkiye,TUR,T,Total,TOTAL,Total,2008,71051689.0,,
2008,United Kingdom,GBR,T,Total,TOTAL,Total,2008,61823772.0,,
2008,United States,USA,T,Total,TOTAL,Total,2008,304093966.0,,
2008,Croatia,HRV,T,Total,TOTAL,Total,2008,4309705.0,,
2008,India,IND,T,Total,TOTAL,Total,2008,1206734805.0,,
2008,Lithuania,LTU,T,Total,TOTAL,Total,2008,3198231.0,,
2008,Slovenia,SVN,T,Total,TOTAL,Total,2008,2022629.0,,
2009,Belgium,BEL,T,Total,TOTAL,Total,2009,10796498.0,,
2009,Canada,CAN,T,Total,TOTAL,Total,2009,33628895.0,,
2009,Czech Republic,CZE,T,Total,TOTAL,Total,2009,10491492.0,,
2009,Denmark,DNK,T,Total,TOTAL,Total,2009,5519441.0,,
2009,Finland,FIN,T,Total,TOTAL,Total,2009,5338867.0,,
2009,France,FRA,T,Total,TOTAL,Total,2009,64458715.0,,
2009,Hungary,HUN,T,Total,TOTAL,Total,2009,10022647.0,,
2009,Iceland,ISL,T,Total,TOTAL,Total,2009,318501.0,,
2009,Italy,ITA,T,Total,TOTAL,Total,2009,59555456.0,,
2009,Japan,JPN,T,Total,TOTAL,Total,2009,128031514.0,,
2009,Korea,KOR,T,Total,TOTAL,Total,2009,49307835.0,,
2009,Netherlands,NLD,T,Total,TOTAL,Total,2009,16530387.0,,
2009,New Zealand,NZL,T,Total,TOTAL,Total,2009,4302600.0,,
2009,Norway,NOR,T,Total,TOTAL,Total,2009,4828716.0,,
