Year,Country,LOCATION,STATISTICS,Reference Statistics,UNIT_MEASURE,Unit of measurement,TIME,Value,Flag Codes,Flags
1996,Japan,JPN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,181065600.0,,
1996,Korea,KOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,490850912.0,,
1996,Korea,KOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,105634896.0,,
1996,Netherlands,NLD,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,344625.0,,
1996,Netherlands,NLD,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,162719.0,,
1996,New Zealand,NZL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,101101.0,,
1996,New Zealand,NZL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,40636.063,,
1996,Norway,NOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,876427.0,,
1996,Norway,NOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,508988.0,,
1996,Poland,POL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,431897.0,,
1996,Poland,POL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,220801.0,,
1996,Portugal,PRT,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,94351.594,,
1996,Portugal,PRT,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,40711.922,,
1996,Slovak Republic,SVK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,22032.854,,
1996,Slovak Republic,SVK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,11736.95,,
1996,Sweden,SWE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,1956434.0,,
1996,Sweden,SWE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,1192831.0,,
1996,Switzerland,CHE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,420368.5,,
1996,Switzerland,CHE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,142779.5,,
1996,Türkiye,TUR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,20349.949,,
1996,United Kingdom,GBR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,911258.0,,
1996,United Kingdom,GBR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,334646.0,,
1996,United States,USA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,8073122.0,,
1996,United States,USA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,2997027.5,,
1996,India,IND,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,13762099.0,,
1996,India,IND,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,3398320.0,,
1996,Lithuania,LTU,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,9711.1494,,
1996,Lithuania,LTU,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,3551.23,,
1996,Slovenia,SVN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,12147.285,,
1996,Slovenia,SVN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,5484.1099,,
1996,Croatia,HRV,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,17313.178,,
1996,Croatia,HRV,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,9887.7598,,
1997,Belgium,BEL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,224101.5,,
1997,Belgium,BEL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,115640.2,,
1997,Canada,CAN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,906926.0,,
1997,Canada,CAN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,399898.0,,
1997,Czech Republic,CZE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,1971024.0,,
1997,Czech Republic,CZE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,819917.0,,
1997,Denmark,DNK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,1146129.4,,
1997,Denmark,DNK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,640772.0,,
1997,Finland,FIN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,110807.0,,
1997,Finland,FIN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,62124.0,,
1997,France,FRA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,1292777.0,,
1997,France,FRA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,704959.0,,
1997,Hungary,HUN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,8834560.0,,
1997,Hungary,HUN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,4382043.0,,
1997,Iceland,ISL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,536722.38,,
1997,Iceland,ISL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,226066.0,,
1997,Italy,ITA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,1092357.3,,
1997,Italy,ITA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,540628.0,,
1997,Japan,JPN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,543545408.0,,
1997,Japan,JPN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,179812608.0,,
1997,Korea,KOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,542001792.0,,
1997,Korea,KOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,120597600.0,,
1997,Netherlands,NLD,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,369046.0,,
1997,Netherlands,NLD,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,168737.0,,
1997,New Zealand,NZL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,104815.0,,
1997,New Zealand,NZL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,42716.777,,
1997,Norway,NOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,946567.0,,
1997,Norway,NOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,532409.0,,
1997,Poland,POL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,522582.0,,
1997,Poland,POL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,245784.0,,
1997,Portugal,PRT,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,102330.96,,
1997,Portugal,PRT,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,43448.781,,
1997,Slovak Republic,SVK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,24456.111,,
1997,Slovak Republic,SVK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,11912.58,,
1997,Sweden,SWE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,2047269.0,,
1997,Sweden,SWE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,1202548.0,,
1997,Switzerland,CHE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,427826.13,,
1997,Switzerland,CHE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,145285.56,,
1997,Türkiye,TUR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,39724.102,,
1997,United Kingdom,GBR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,953952.0,,
1997,United Kingdom,GBR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,342133.0,,
1997,United States,USA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,8577552.0,,
1997,United States,USA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,3085212.8,,
1997,India,IND,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,15246805.0,,
1997,India,IND,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,3898970.0,,
1997,Lithuania,LTU,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,11722.435,,
1997,Lithuania,LTU,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,5893.8198,,
1997,Slovenia,SVN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,13836.531,,
1997,Slovenia,SVN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,6277.6699,,
1997,Croatia,HRV,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1997,19647.84,,
1997,Croatia,HRV,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1997,10572.115,,
1998,Belgium,BEL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,232623.8,,
1998,Belgium,BEL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,118543.5,,
1998,Canada,CAN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,940548.0,,
1998,Canada,CAN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,414399.0,,
1998,Czech Republic,CZE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,2156624.0,,
1998,Czech Republic,CZE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,903236.0,,
1998,Denmark,DNK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,1185987.5,,
1998,Denmark,DNK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,656981.0,,
1998,Finland,FIN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,120474.0,,
1998,Finland,FIN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,63035.0,,
1998,France,FRA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,1351896.0,,
1998,France,FRA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,715484.0,,
1998,Hungary,HUN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,10442818.0,,
1998,Hungary,HUN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,5304339.5,,
1998,Iceland,ISL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,603407.63,,
1998,Iceland,ISL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,246624.64,,
1998,Italy,ITA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,1138856.1,,
1998,Italy,ITA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,548361.0,,
1998,Japan,JPN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,536497408.0,,
1998,Japan,JPN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,207265600.0,,
1998,Korea,KOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,537215296.0,,
1998,Korea,KOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,135679696.0,,
1998,Netherlands,NLD,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,394295.0,,
1998,Netherlands,NLD,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,175667.0,,
1998,New Zealand,NZL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,106826.0,,
1998,New Zealand,NZL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,42829.285,,
1998,Norway,NOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,1020047.0,,
1998,Norway,NOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,568853.0,,
1998,Poland,POL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,607103.0,,
1998,Poland,POL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,273798.0,,
1998,Portugal,PRT,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,111353.38,,
1998,Portugal,PRT,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,47559.719,,
1998,Slovak Republic,SVK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,26688.279,,
1998,Slovak Republic,SVK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,12236.79,,
1998,Sweden,SWE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,2152905.0,,
1998,Sweden,SWE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,1214548.0,,
1998,Switzerland,CHE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,439954.88,,
1998,Switzerland,CHE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,148204.95,,
1998,Türkiye,TUR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,71944.703,,
1998,United Kingdom,GBR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,999326.0,,
1998,United Kingdom,GBR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,354565.0,,
1998,United States,USA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,9062817.0,,
1998,United States,USA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,3182809.8,,
1998,India,IND,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,17486556.0,,
1998,India,IND,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,4614070.0,,
1998,Lithuania,LTU,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,13021.016,,
1998,Lithuania,LTU,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,5362.3999,,
1998,Slovenia,SVN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,15351.768,,
1998,Slovenia,SVN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,7095.1099,,
1998,Croatia,HRV,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1998,21732.146,,
1998,Croatia,HRV,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1998,11837.872,,
1999,Belgium,BEL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,242307.59,,
1999,Belgium,BEL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,122357.4,,
1999,Canada,CAN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,1007927.0,,
1999,Canada,CAN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,427988.0,,
1999,Czech Republic,CZE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,2252983.0,,
1999,Czech Republic,CZE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,927538.0,,
1999,Denmark,DNK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,1241520.8,,
1999,Denmark,DNK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,677042.0,,
1999,Finland,FIN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,126916.0,,
1999,Finland,FIN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,64702.0,,
1999,France,FRA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,1400999.0,,
1999,France,FRA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,737347.0,,
1999,Hungary,HUN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,11637546.0,,
1999,Hungary,HUN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,5704855.0,,
1999,Iceland,ISL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,649719.13,,
1999,Iceland,ISL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,294928.38,,
1999,Italy,ITA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,1175149.5,,
1999,Italy,ITA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,554833.0,,
1999,Japan,JPN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,528069888.0,,
1999,Japan,JPN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,187818704.0,,
1999,Korea,KOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,591452992.0,,
1999,Korea,KOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,145106592.0,,
1999,Netherlands,NLD,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,419459.0,,
1999,Netherlands,NLD,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,182890.0,,
1999,New Zealand,NZL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,113229.0,,
1999,New Zealand,NZL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,44582.645,,
1999,Norway,NOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,1074476.0,,
1999,Norway,NOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,601798.0,,
1999,Poland,POL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,674530.0,,
1999,Poland,POL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,292387.0,,
1999,Portugal,PRT,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,119603.3,,
1999,Portugal,PRT,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,50909.691,,
1999,Slovak Republic,SVK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,28583.547,,
1999,Slovak Republic,SVK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,13710.35,,
1999,Sweden,SWE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,2264494.0,,
1999,Sweden,SWE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,1268790.0,,
1999,Switzerland,CHE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1999,447465.78,,
1999,Switzerland,CHE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1999,153655.13,,
