"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUT","Austria","T","Total","TOTAL","Total","1996","1996",7959016,,
"AUT","Austria","T","Total","TOTAL","Total","1997","1997",7968041,,
"AUT","Austria","T","Total","TOTAL","Total","1998","1998",7976789,,
"AUT","Austria","T","Total","TOTAL","Total","1999","1999",7992323,,
"AUT","Austria","T","Total","TOTAL","Total","2000","2000",8011566,,
"AUT","Austria","T","Total","TOTAL","Total","2001","2001",8042293,,
"AUT","Austria","T","Total","TOTAL","Total","2002","2002",8082121,,
"AUT","Austria","T","Total","TOTAL","Total","2003","2003",8118245,,
"AUT","Austria","T","Total","TOTAL","Total","2004","2004",8169441,,
"AUT","Austria","T","Total","TOTAL","Total","2005","2005",8225278,,
"AUT","Austria","T","Total","TOTAL","Total","2006","2006",8267948,,
"AUT","Austria","T","Total","TOTAL","Total","2007","2007",8295189,,
"AUT","Austria","T","Total","TOTAL","Total","2008","2008",8321541,,
"AUT","Austria","T","Total","TOTAL","Total","2009","2009",8341483,,
"AUT","Austria","T","Total","TOTAL","Total","2010","2010",8361069,,
"AUT","Austria","T","Total","TOTAL","Total","2011","2011",8388534,,
"AUT","Austria","T","Total","TOTAL","Total","2012","2012",8426311,,
"AUT","Austria","T","Total","TOTAL","Total","2013","2013",8477230,,
"AUT","Austria","T","Total","TOTAL","Total","2014","2014",8543932,,
"AUT","Austria","T","Total","TOTAL","Total","2015","2015",8629519,,
"AUT","Austria","T","Total","TOTAL","Total","2016","2016",8739806,,
"AUT","Austria","T","Total","TOTAL","Total","2017","2017",8795073,,
"AUT","Austria","T","Total","TOTAL","Total","2018","2018",8837707,,
"AUT","Austria","T","Total","TOTAL","Total","2019","2019",8877637,,
"AUT","Austria","T","Total","TOTAL","Total","2020","2020",8916845,,
"AUT","Austria","T","Total","TOTAL","Total","2021","2021",8951520,,
"BEL","Belgium","T","Total","TOTAL","Total","1995","1995",10136814,,
"BEL","Belgium","T","Total","TOTAL","Total","1996","1996",10156641,,
"BEL","Belgium","T","Total","TOTAL","Total","1997","1997",10181246,,
"BEL","Belgium","T","Total","TOTAL","Total","1998","1998",10203012,,
"BEL","Belgium","T","Total","TOTAL","Total","1999","1999",10226419,,
"BEL","Belgium","T","Total","TOTAL","Total","2000","2000",10251251,,
"BEL","Belgium","T","Total","TOTAL","Total","2001","2001",10286571,,
"BEL","Belgium","T","Total","TOTAL","Total","2002","2002",10332786,,
"BEL","Belgium","T","Total","TOTAL","Total","2003","2003",10376131,,
"BEL","Belgium","T","Total","TOTAL","Total","2004","2004",10421136,,
"BEL","Belgium","T","Total","TOTAL","Total","2005","2005",10478620,,
"BEL","Belgium","T","Total","TOTAL","Total","2006","2006",10547956,,
"BEL","Belgium","T","Total","TOTAL","Total","2007","2007",10624835,,
"BEL","Belgium","T","Total","TOTAL","Total","2008","2008",10709108,,
"BEL","Belgium","T","Total","TOTAL","Total","2009","2009",10796498,,
"BEL","Belgium","T","Total","TOTAL","Total","2010","2010",10895591,,
"BEL","Belgium","T","Total","TOTAL","Total","2011","2011",10993609,,
"BEL","Belgium","T","Total","TOTAL","Total","2012","2012",11067748,,
"BEL","Belgium","T","Total","TOTAL","Total","2013","2013",11125033,,
"BEL","Belgium","T","Total","TOTAL","Total","2014","2014",11179778,,
"BEL","Belgium","T","Total","TOTAL","Total","2015","2015",11238474,,
"BEL","Belgium","T","Total","TOTAL","Total","2016","2016",11295003,,
"BEL","Belgium","T","Total","TOTAL","Total","2017","2017",11349081,,
"BEL","Belgium","T","Total","TOTAL","Total","2018","2018",11403740,,
"BEL","Belgium","T","Total","TOTAL","Total","2019","2019",11462023,,
"BEL","Belgium","T","Total","TOTAL","Total","2020","2020",11506938,,
"BEL","Belgium","T","Total","TOTAL","Total","2021","2021",11552615,,
"CAN","Canada","T","Total","TOTAL","Total","1995","1995",29302311,,
"CAN","Canada","T","Total","TOTAL","Total","1996","1996",29610218,,
"CAN","Canada","T","Total","TOTAL","Total","1997","1997",29905948,,
"CAN","Canada","T","Total","TOTAL","Total","1998","1998",30155173,,
"CAN","Canada","T","Total","TOTAL","Total","1999","1999",30401286,,
"CAN","Canada","T","Total","TOTAL","Total","2000","2000",30685730,,
"CAN","Canada","T","Total","TOTAL","Total","2001","2001",31020902,,
"CAN","Canada","T","Total","TOTAL","Total","2002","2002",31360079,,
"CAN","Canada","T","Total","TOTAL","Total","2003","2003",31644028,,
"CAN","Canada","T","Total","TOTAL","Total","2004","2004",31940655,,
"CAN","Canada","T","Total","TOTAL","Total","2005","2005",32243753,,
"CAN","Canada","T","Total","TOTAL","Total","2006","2006",32571174,,
"CAN","Canada","T","Total","TOTAL","Total","2007","2007",32889025,,
"CAN","Canada","T","Total","TOTAL","Total","2008","2008",33247118,,
"CAN","Canada","T","Total","TOTAL","Total","2009","2009",33628895,,
"CAN","Canada","T","Total","TOTAL","Total","2010","2010",34004889,,
"CAN","Canada","T","Total","TOTAL","Total","2011","2011",34339328,,
"CAN","Canada","T","Total","TOTAL","Total","2012","2012",34714222,,
"CAN","Canada","T","Total","TOTAL","Total","2013","2013",35082954,,
"CAN","Canada","T","Total","TOTAL","Total","2014","2014",35437435,,
"CAN","Canada","T","Total","TOTAL","Total","2015","2015",35702908,,
"CAN","Canada","T","Total","TOTAL","Total","2016","2016",36109487,,
"CAN","Canada","T","Total","TOTAL","Total","2017","2017",36545236,,
"CAN","Canada","T","Total","TOTAL","Total","2018","2018",37065084,,
"CAN","Canada","T","Total","TOTAL","Total","2019","2019",37601230,,
"CAN","Canada","T","Total","TOTAL","Total","2020","2020",38007166,,
"CAN","Canada","T","Total","TOTAL","Total","2021","2021",38226498,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1995","1995",10330759,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1996","1996",10315353,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1997","1997",10303642,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1998","1998",10294943,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1999","1999",10282784,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2000","2000",10272503,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2001","2001",10224192,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2002","2002",10200774,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2003","2003",10201651,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2004","2004",10206923,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2005","2005",10234092,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2006","2006",10266646,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2007","2007",10322689,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2008","2008",10429692,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2009","2009",10491492,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2010","2010",10517247,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2011","2011",10496672,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2012","2012",10509286,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2013","2013",10510719,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2014","2014",10524783,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2015","2015",10542942,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2016","2016",10565284,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2017","2017",10589526,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2018","2018",10626430,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2019","2019",10669324,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2020","2020",10700155,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2021","2021",10500850,,
"DNK","Denmark","T","Total","TOTAL","Total","1995","1995",5227861,,
"DNK","Denmark","T","Total","TOTAL","Total","1996","1996",5261503,,
"DNK","Denmark","T","Total","TOTAL","Total","1997","1997",5284220,,
"DNK","Denmark","T","Total","TOTAL","Total","1998","1998",5301304,,
"DNK","Denmark","T","Total","TOTAL","Total","1999","1999",5319111,,
"DNK","Denmark","T","Total","TOTAL","Total","2000","2000",5337344,,
"DNK","Denmark","T","Total","TOTAL","Total","2001","2001",5355082,,
"DNK","Denmark","T","Total","TOTAL","Total","2002","2002",5374255,,
"DNK","Denmark","T","Total","TOTAL","Total","2003","2003",5387174,,
"DNK","Denmark","T","Total","TOTAL","Total","2004","2004",5401177,,
"DNK","Denmark","T","Total","TOTAL","Total","2005","2005",5415978,,
"DNK","Denmark","T","Total","TOTAL","Total","2006","2006",5434567,,
"DNK","Denmark","T","Total","TOTAL","Total","2007","2007",5457415,,
"DNK","Denmark","T","Total","TOTAL","Total","2008","2008",5489022,,
"DNK","Denmark","T","Total","TOTAL","Total","2009","2009",5519441,,
"DNK","Denmark","T","Total","TOTAL","Total","2010","2010",5543819,,
"DNK","Denmark","T","Total","TOTAL","Total","2011","2011",5566856,,
"DNK","Denmark","T","Total","TOTAL","Total","2012","2012",5587085,,
"DNK","Denmark","T","Total","TOTAL","Total","2013","2013",5608784,,
"DNK","Denmark","T","Total","TOTAL","Total","2014","2014",5639719,,
"DNK","Denmark","T","Total","TOTAL","Total","2015","2015",5678348,,
"DNK","Denmark","T","Total","TOTAL","Total","2016","2016",5724456,,
"DNK","Denmark","T","Total","TOTAL","Total","2017","2017",5760694,,
"DNK","Denmark","T","Total","TOTAL","Total","2018","2018",5789957,,
"DNK","Denmark","T","Total","TOTAL","Total","2019","2019",5814461,,
"DNK","Denmark","T","Total","TOTAL","Total","2020","2020",5825337,,
"DNK","Denmark","T","Total","TOTAL","Total","2021","2021",5850189,,
"FIN","Finland","T","Total","TOTAL","Total","1995","1995",5107787,,
"FIN","Finland","T","Total","TOTAL","Total","1996","1996",5124573,,
"FIN","Finland","T","Total","TOTAL","Total","1997","1997",5139839,,
"FIN","Finland","T","Total","TOTAL","Total","1998","1998",5153499,,
"FIN","Finland","T","Total","TOTAL","Total","1999","1999",5165470,,
"FIN","Finland","T","Total","TOTAL","Total","2000","2000",5176203,,
"FIN","Finland","T","Total","TOTAL","Total","2001","2001",5188005,,
"FIN","Finland","T","Total","TOTAL","Total","2002","2002",5200598,,
"FIN","Finland","T","Total","TOTAL","Total","2003","2003",5213010,,
"FIN","Finland","T","Total","TOTAL","Total","2004","2004",5228173,,
"FIN","Finland","T","Total","TOTAL","Total","2005","2005",5246100,,
"FIN","Finland","T","Total","TOTAL","Total","2006","2006",5266266,,
"FIN","Finland","T","Total","TOTAL","Total","2007","2007",5288719,,
"FIN","Finland","T","Total","TOTAL","Total","2008","2008",5313398,,
"FIN","Finland","T","Total","TOTAL","Total","2009","2009",5338867,,
"FIN","Finland","T","Total","TOTAL","Total","2010","2010",5363341,,
"FIN","Finland","T","Total","TOTAL","Total","2011","2011",5388272,,
"FIN","Finland","T","Total","TOTAL","Total","2012","2012",5413967,,
"FIN","Finland","T","Total","TOTAL","Total","2013","2013",5438975,,
"FIN","Finland","T","Total","TOTAL","Total","2014","2014",5461507,,
"FIN","Finland","T","Total","TOTAL","Total","2015","2015",5479528,,
"FIN","Finland","T","Total","TOTAL","Total","2016","2016",5495297,,
"FIN","Finland","T","Total","TOTAL","Total","2017","2017",5508209,,
"FIN","Finland","T","Total","TOTAL","Total","2018","2018",5515525,,
"FIN","Finland","T","Total","TOTAL","Total","2019","2019",5521605,,
"FIN","Finland","T","Total","TOTAL","Total","2020","2020",5529545,,
"FIN","Finland","T","Total","TOTAL","Total","2021","2021",5541020,,
"FRA","France","T","Total","TOTAL","Total","1995","1995",59383991,,
"FRA","France","T","Total","TOTAL","Total","1996","1996",59589289,,
"FRA","France","T","Total","TOTAL","Total","1997","1997",59795263,,
"FRA","France","T","Total","TOTAL","Total","1998","1998",60011008,,
"FRA","France","T","Total","TOTAL","Total","1999","1999",60315406,,
"FRA","France","T","Total","TOTAL","Total","2000","2000",60724780,,
"FRA","France","T","Total","TOTAL","Total","2001","2001",61163237,,
"FRA","France","T","Total","TOTAL","Total","2002","2002",61604550,,
"FRA","France","T","Total","TOTAL","Total","2003","2003",62037544,,
"FRA","France","T","Total","TOTAL","Total","2004","2004",62490800,,
"FRA","France","T","Total","TOTAL","Total","2005","2005",62958328,,
"FRA","France","T","Total","TOTAL","Total","2006","2006",63393406,,
"FRA","France","T","Total","TOTAL","Total","2007","2007",63781275,,
"FRA","France","T","Total","TOTAL","Total","2008","2008",64133174,,
"FRA","France","T","Total","TOTAL","Total","2009","2009",64458715,,
"FRA","France","T","Total","TOTAL","Total","2010","2010",64773169,,
"FRA","France","T","Total","TOTAL","Total","2011","2011",65087317,,
"FRA","France","T","Total","TOTAL","Total","2012","2012",65402998,,
"FRA","France","T","Total","TOTAL","Total","2013","2013",65735961,,
"FRA","France","T","Total","TOTAL","Total","2014","2014",66276671,,
"FRA","France","T","Total","TOTAL","Total","2015","2015",66512558,,
"FRA","France","T","Total","TOTAL","Total","2016","2016",66688563,,
"FRA","France","T","Total","TOTAL","Total","2017","2017",66883314,,
"FRA","France","T","Total","TOTAL","Total","2018","2018",67125071,,
"FRA","France","T","Total","TOTAL","Total","2019","2019",67349922,,
"FRA","France","T","Total","TOTAL","Total","2020","2020",67538482,,
"FRA","France","T","Total","TOTAL","Total","2021","2021",67738863,,
"DEU","Germany","T","Total","TOTAL","Total","1995","1995",81678046,,
"DEU","Germany","T","Total","TOTAL","Total","1996","1996",81914834,,
"DEU","Germany","T","Total","TOTAL","Total","1997","1997",82034775,,
"DEU","Germany","T","Total","TOTAL","Total","1998","1998",82047197,,
"DEU","Germany","T","Total","TOTAL","Total","1999","1999",82100243,,
"DEU","Germany","T","Total","TOTAL","Total","2000","2000",82211501,,
"DEU","Germany","T","Total","TOTAL","Total","2001","2001",82349926,,
"DEU","Germany","T","Total","TOTAL","Total","2002","2002",82488493,,
"DEU","Germany","T","Total","TOTAL","Total","2003","2003",82534175,,
"DEU","Germany","T","Total","TOTAL","Total","2004","2004",82516268,,
"DEU","Germany","T","Total","TOTAL","Total","2005","2005",82469421,,
"DEU","Germany","T","Total","TOTAL","Total","2006","2006",82376447,,
"DEU","Germany","T","Total","TOTAL","Total","2007","2007",82266373,,
"DEU","Germany","T","Total","TOTAL","Total","2008","2008",82110097,,
"DEU","Germany","T","Total","TOTAL","Total","2009","2009",81902308,,
"DEU","Germany","T","Total","TOTAL","Total","2010","2010",81776936,,
"DEU","Germany","T","Total","TOTAL","Total","2011","2011",80274981,,
"DEU","Germany","T","Total","TOTAL","Total","2012","2012",80425826,,
"DEU","Germany","T","Total","TOTAL","Total","2013","2013",80645605,,
"DEU","Germany","T","Total","TOTAL","Total","2014","2014",80982495,,
"DEU","Germany","T","Total","TOTAL","Total","2015","2015",81686608,,
"DEU","Germany","T","Total","TOTAL","Total","2016","2016",82348669,,
"DEU","Germany","T","Total","TOTAL","Total","2017","2017",82657000,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",82905788,,
"DEU","Germany","T","Total","TOTAL","Total","2019","2019",83092956,,
"DEU","Germany","T","Total","TOTAL","Total","2020","2020",83160877,,
"DEU","Germany","T","Total","TOTAL","Total","2021","2021",83196076,,
"GRC","Greece","T","Total","TOTAL","Total","1995","1995",10562160,,
"GRC","Greece","T","Total","TOTAL","Total","1996","1996",10608801,,
"GRC","Greece","T","Total","TOTAL","Total","1997","1997",10661264,,
"GRC","Greece","T","Total","TOTAL","Total","1998","1998",10720507,,
"GRC","Greece","T","Total","TOTAL","Total","1999","1999",10761698,,
"GRC","Greece","T","Total","TOTAL","Total","2000","2000",10805806,,
"GRC","Greece","T","Total","TOTAL","Total","2001","2001",10862129,,
"GRC","Greece","T","Total","TOTAL","Total","2002","2002",10902022,,
"GRC","Greece","T","Total","TOTAL","Total","2003","2003",10928072,,
"GRC","Greece","T","Total","TOTAL","Total","2004","2004",10955142,,
"GRC","Greece","T","Total","TOTAL","Total","2005","2005",10987316,,
"GRC","Greece","T","Total","TOTAL","Total","2006","2006",11020366,,
"GRC","Greece","T","Total","TOTAL","Total","2007","2007",11048466,,
"GRC","Greece","T","Total","TOTAL","Total","2008","2008",11077839,,
"GRC","Greece","T","Total","TOTAL","Total","2009","2009",11107017,,
"GRC","Greece","T","Total","TOTAL","Total","2010","2010",11121344,,
"GRC","Greece","T","Total","TOTAL","Total","2011","2011",11104900,,
"GRC","Greece","T","Total","TOTAL","Total","2012","2012",11045010,,
"GRC","Greece","T","Total","TOTAL","Total","2013","2013",10965209,,
"GRC","Greece","T","Total","TOTAL","Total","2014","2014",10892415,,
"GRC","Greece","T","Total","TOTAL","Total","2015","2015",10820883,,
"GRC","Greece","T","Total","TOTAL","Total","2016","2016",10775966,,
"GRC","Greece","T","Total","TOTAL","Total","2017","2017",10754679,,
"GRC","Greece","T","Total","TOTAL","Total","2018","2018",10732877,,
"GRC","Greece","T","Total","TOTAL","Total","2019","2019",10721584,,
"GRC","Greece","T","Total","TOTAL","Total","2020","2020",10698597,,
"GRC","Greece","T","Total","TOTAL","Total","2021","2021",10569211,,
"HUN","Hungary","T","Total","TOTAL","Total","1995","1995",10328967,,
"HUN","Hungary","T","Total","TOTAL","Total","1996","1996",10311235,,
"HUN","Hungary","T","Total","TOTAL","Total","1997","1997",10290475,,
"HUN","Hungary","T","Total","TOTAL","Total","1998","1998",10266571,,
"HUN","Hungary","T","Total","TOTAL","Total","1999","1999",10237527,,
"HUN","Hungary","T","Total","TOTAL","Total","2000","2000",10210965,,
"HUN","Hungary","T","Total","TOTAL","Total","2001","2001",10187578,,
"HUN","Hungary","T","Total","TOTAL","Total","2002","2002",10158610,,
"HUN","Hungary","T","Total","TOTAL","Total","2003","2003",10129554,,
"HUN","Hungary","T","Total","TOTAL","Total","2004","2004",10107140,,
"HUN","Hungary","T","Total","TOTAL","Total","2005","2005",10087064,,
"HUN","Hungary","T","Total","TOTAL","Total","2006","2006",10071374,,
"HUN","Hungary","T","Total","TOTAL","Total","2007","2007",10055778,,
"HUN","Hungary","T","Total","TOTAL","Total","2008","2008",10038186,,
"HUN","Hungary","T","Total","TOTAL","Total","2009","2009",10022647,,
"HUN","Hungary","T","Total","TOTAL","Total","2010","2010",10000020,,
"HUN","Hungary","T","Total","TOTAL","Total","2011","2011",9958824,,
"HUN","Hungary","T","Total","TOTAL","Total","2012","2012",9920364,,
"HUN","Hungary","T","Total","TOTAL","Total","2013","2013",9893083,,
"HUN","Hungary","T","Total","TOTAL","Total","2014","2014",9866466,,
"HUN","Hungary","T","Total","TOTAL","Total","2015","2015",9843025,,
"HUN","Hungary","T","Total","TOTAL","Total","2016","2016",9814026,,
"HUN","Hungary","T","Total","TOTAL","Total","2017","2017",9787969,,
"HUN","Hungary","T","Total","TOTAL","Total","2018","2018",9775566,,
"HUN","Hungary","T","Total","TOTAL","Total","2019","2019",9771142,,
"HUN","Hungary","T","Total","TOTAL","Total","2020","2020",9750153,,
"HUN","Hungary","T","Total","TOTAL","Total","2021","2021",9709893,,
"ISL","Iceland","T","Total","TOTAL","Total","1995","1995",267467,,
"ISL","Iceland","T","Total","TOTAL","Total","1996","1996",268918,,
"ISL","Iceland","T","Total","TOTAL","Total","1997","1997",271130,,
"ISL","Iceland","T","Total","TOTAL","Total","1998","1998",274049,,
"ISL","Iceland","T","Total","TOTAL","Total","1999","1999",277384,,
"ISL","Iceland","T","Total","TOTAL","Total","2000","2000",281200,,
"ISL","Iceland","T","Total","TOTAL","Total","2001","2001",284970,,
"ISL","Iceland","T","Total","TOTAL","Total","2002","2002",287516,,
"ISL","Iceland","T","Total","TOTAL","Total","2003","2003",289522,,
"ISL","Iceland","T","Total","TOTAL","Total","2004","2004",292077,,
"ISL","Iceland","T","Total","TOTAL","Total","2005","2005",296734,,
"ISL","Iceland","T","Total","TOTAL","Total","2006","2006",303784,,
"ISL","Iceland","T","Total","TOTAL","Total","2007","2007",311567,,
"ISL","Iceland","T","Total","TOTAL","Total","2008","2008",317404,,
"ISL","Iceland","T","Total","TOTAL","Total","2009","2009",318501,,
"ISL","Iceland","T","Total","TOTAL","Total","2010","2010",318044,,
"ISL","Iceland","T","Total","TOTAL","Total","2011","2011",319011,,
"ISL","Iceland","T","Total","TOTAL","Total","2012","2012",320723,,
"ISL","Iceland","T","Total","TOTAL","Total","2013","2013",323763,,
"ISL","Iceland","T","Total","TOTAL","Total","2014","2014",327379,,
"ISL","Iceland","T","Total","TOTAL","Total","2015","2015",330818,,
"ISL","Iceland","T","Total","TOTAL","Total","2016","2016",335435,,
"ISL","Iceland","T","Total","TOTAL","Total","2017","2017",343399,,
"ISL","Iceland","T","Total","TOTAL","Total","2018","2018",352722,,
"ISL","Iceland","T","Total","TOTAL","Total","2019","2019",360558,,
"ISL","Iceland","T","Total","TOTAL","Total","2020","2020",366462,,
"ISL","Iceland","T","Total","TOTAL","Total","2021","2021",372523,,
"IRL","Ireland","T","Total","TOTAL","Total","1995","1995",3601300,,
"IRL","Ireland","T","Total","TOTAL","Total","1996","1996",3626087,,
"IRL","Ireland","T","Total","TOTAL","Total","1997","1997",3664313,,
"IRL","Ireland","T","Total","TOTAL","Total","1998","1998",3703082,,
"IRL","Ireland","T","Total","TOTAL","Total","1999","1999",3741647,,
"IRL","Ireland","T","Total","TOTAL","Total","2000","2000",3789536,,
"IRL","Ireland","T","Total","TOTAL","Total","2001","2001",3847198,,
"IRL","Ireland","T","Total","TOTAL","Total","2002","2002",3917203,,
"IRL","Ireland","T","Total","TOTAL","Total","2003","2003",3979853,,
"IRL","Ireland","T","Total","TOTAL","Total","2004","2004",4045188,,
"IRL","Ireland","T","Total","TOTAL","Total","2005","2005",4133839,,
"IRL","Ireland","T","Total","TOTAL","Total","2006","2006",4232929,,
"IRL","Ireland","T","Total","TOTAL","Total","2007","2007",4375842,,
"IRL","Ireland","T","Total","TOTAL","Total","2008","2008",4485070,,
"IRL","Ireland","T","Total","TOTAL","Total","2009","2009",4533395,,
"IRL","Ireland","T","Total","TOTAL","Total","2010","2010",4554763,,
"IRL","Ireland","T","Total","TOTAL","Total","2011","2011",4574888,,
"IRL","Ireland","T","Total","TOTAL","Total","2012","2012",4593697,,
"IRL","Ireland","T","Total","TOTAL","Total","2013","2013",4614669,,
"IRL","Ireland","T","Total","TOTAL","Total","2014","2014",4645440,,
"IRL","Ireland","T","Total","TOTAL","Total","2015","2015",4687787,,
"IRL","Ireland","T","Total","TOTAL","Total","2016","2016",4739597,,
"IRL","Ireland","T","Total","TOTAL","Total","2017","2017",4792490,,
"IRL","Ireland","T","Total","TOTAL","Total","2018","2018",4857015,,
"IRL","Ireland","T","Total","TOTAL","Total","2019","2019",4921496,,
"IRL","Ireland","T","Total","TOTAL","Total","2020","2020",4977443,,
"IRL","Ireland","T","Total","TOTAL","Total","2021","2021",5011460,,
"ITA","Italy","T","Total","TOTAL","Total","1995","1995",56844301,,
"ITA","Italy","T","Total","TOTAL","Total","1996","1996",56860279,,
"ITA","Italy","T","Total","TOTAL","Total","1997","1997",56890371,,
"ITA","Italy","T","Total","TOTAL","Total","1998","1998",56906744,,
"ITA","Italy","T","Total","TOTAL","Total","1999","1999",56916316,,
"ITA","Italy","T","Total","TOTAL","Total","2000","2000",56942108,,
"ITA","Italy","T","Total","TOTAL","Total","2001","2001",56976976,,
"ITA","Italy","T","Total","TOTAL","Total","2002","2002",57089823,,
"ITA","Italy","T","Total","TOTAL","Total","2003","2003",57399187,,
"ITA","Italy","T","Total","TOTAL","Total","2004","2004",57828178,,
"ITA","Italy","T","Total","TOTAL","Total","2005","2005",58166684,,
"ITA","Italy","T","Total","TOTAL","Total","2006","2006",58399863,,
"ITA","Italy","T","Total","TOTAL","Total","2007","2007",58756247,,
"ITA","Italy","T","Total","TOTAL","Total","2008","2008",59211183,,
"ITA","Italy","T","Total","TOTAL","Total","2009","2009",59555456,,
"ITA","Italy","T","Total","TOTAL","Total","2010","2010",59819402,,
"ITA","Italy","T","Total","TOTAL","Total","2011","2011",60026844,,
"ITA","Italy","T","Total","TOTAL","Total","2012","2012",60191243,,
"ITA","Italy","T","Total","TOTAL","Total","2013","2013",60311616,,
"ITA","Italy","T","Total","TOTAL","Total","2014","2014",60320708,,
"ITA","Italy","T","Total","TOTAL","Total","2015","2015",60229599,,
"ITA","Italy","T","Total","TOTAL","Total","2016","2016",60115220,,
"ITA","Italy","T","Total","TOTAL","Total","2017","2017",60002254,,
"ITA","Italy","T","Total","TOTAL","Total","2018","2018",59877216,,
"ITA","Italy","T","Total","TOTAL","Total","2019","2019",59729077,,
"ITA","Italy","T","Total","TOTAL","Total","2020","2020",59438845,,
"ITA","Italy","T","Total","TOTAL","Total","2021","2021",59133173,,
"JPN","Japan","T","Total","TOTAL","Total","1995","1995",125570246,,
"JPN","Japan","T","Total","TOTAL","Total","1996","1996",125864000,,
"JPN","Japan","T","Total","TOTAL","Total","1997","1997",126166000,,
"JPN","Japan","T","Total","TOTAL","Total","1998","1998",126486000,,
"JPN","Japan","T","Total","TOTAL","Total","1999","1999",126686000,,
"JPN","Japan","T","Total","TOTAL","Total","2000","2000",126925843,,
"JPN","Japan","T","Total","TOTAL","Total","2001","2001",127291000,,
"JPN","Japan","T","Total","TOTAL","Total","2002","2002",127435000,,
"JPN","Japan","T","Total","TOTAL","Total","2003","2003",127619000,,
"JPN","Japan","T","Total","TOTAL","Total","2004","2004",127687000,,
"JPN","Japan","T","Total","TOTAL","Total","2005","2005",127767994,,
"JPN","Japan","T","Total","TOTAL","Total","2006","2006",127900515,,
"JPN","Japan","T","Total","TOTAL","Total","2007","2007",128032743,,
"JPN","Japan","T","Total","TOTAL","Total","2008","2008",128083960,,
"JPN","Japan","T","Total","TOTAL","Total","2009","2009",128031514,,
